question,answer_agent,answer_orig,tool_calls,cost,document
"Do students get the Zoom link for live sessions, or is it shared somewhere else?","Students do not get the Zoom link directly. The link is only published to instructors/presenters/TAs.

For live sessions, students should join via YouTube Live, and the video URL is usually posted in the announcements channel on Telegram and Slack before it starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Zoom link live sessions students shared somewhere else""}'}]",0.00114675,489dd1c9d9
How do I ask questions during the workshop if I can’t use the Zoom room?,"If you can’t use the Zoom room, use **YouTube Live** to follow the workshop and submit your questions in **Slido** — the Slido link is pinned in the chat while the session is live.

Also, don’t post questions in chat, since they may be missed if the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""ask questions during the workshop if I can’t use the Zoom room""}'}]",0.0013605,489dd1c9d9
"Is the live stream link posted before Office Hours starts, and where should I look for it?","Yes — the video/stream URL is usually posted **before the Office Hours starts**.

Where to look:
- the **announcements channel on Telegram and Slack**
- it’s also live on the **DataTalksClub YouTube channel**

Students join via **YouTube Live**; the Zoom link itself is only for instructors/presenters/TAs.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""live stream link posted before Office Hours starts where should I look for it""}'}]",0.001365,489dd1c9d9
"Should I type my questions in the YouTube chat during the live session, or is there a better place to submit them?","Use **Slido**, not the YouTube chat.

According to the course FAQ, students join the live session on **YouTube Live** and submit questions via **Slido** (the link is pinned in the chat when the session is live). Questions posted directly in chat may be missed if the room is busy.

If you want, I can also point you to where the live session link is usually announced.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""YouTube chat live session questions better place submit them""}'}]",0.0013395,489dd1c9d9
"Where do I begin if I want to follow this course from scratch, and which pages should I check first?","To start the course from scratch, begin with these pages:

1. **[LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)**
2. **[General Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)**
3. **[LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)**

A good first workflow is:

- Watch the lesson videos
- Go through the lesson notebooks/code
- Read the homework instructions on GitHub
- Submit homework on the course platform before the deadline

You can start anytime—the materials are available, and deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""begin from scratch start course which pages should I check first""}'}]",0.00174975,04919992b3
"Can I start the LLM Zoomcamp at any time, or is there a fixed start date and schedule I need to follow?","Yes — you can start the LLM Zoomcamp whenever you want. There isn’t a fixed start date you must follow for the learning materials.

A good workflow is:
1. Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [GitHub repo](https://github.com/DataTalksClub/llm-zoomcamp).
2. Watch the lesson videos.
3. Work through the notebooks/code.
4. Check homework instructions on GitHub.
5. Submit homework through the course platform before the deadline.

The videos and materials are available on demand, but homework deadlines are listed on the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp start at any time fixed start date schedule follow""}'}]",0.00176775,04919992b3
"What’s the usual weekly routine for this course — do I watch the lectures first, then do the notebooks, then homework?","Yes — the usual workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit the homework on the course platform before the deadline

So your order is basically right. The only extra piece is to check the homework instructions on GitHub, since they often include important details beyond the platform page.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""usual weekly routine lectures notebooks homework watch lectures first then notebooks then homework""}'}]",0.00145275,04919992b3
Where do I find the homework instructions and where should I upload or submit my answers before the deadline?,"You can find the homework instructions in both:

- the course GitHub repo, and
- the course management platform.

For the current Module 1 homework, the FAQ points to these links:

- Cohort materials: https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
- Homework instructions: https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

For submitting your answers, use the course platform/homework submission form. The FAQ also notes that:

- you can submit while the form is still open, even if the deadline has passed, and
- once the form is closed, no late submissions are accepted.

If you want, I can also help you locate the exact submission page or explain the homework deadline rules.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""homework instructions upload submit answers deadline where to find instructions submit assignments""}'}]",0.00177075,04919992b3
"Is homework basically the same as the lesson exercises, or does it use different data and tasks?","Yes — homework usually follows the lesson workflow, but it often uses a different dataset or asks you to apply the same idea in a slightly different way.

So it’s not always the exact same data/tasks as the exercises from the lesson.

If something feels unclear, check the GitHub homework instructions, not only the course platform page.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""homework lesson exercises same data tasks different data homework exercises FAQ""}'}]",0.00128175,04919992b3
How do I find my own entry on the leaderboard if I can’t see my name right away?,"If you can’t see your name right away on the leaderboard, click **“Jump to your record on the leaderboard”** — that will take you directly to your entry.

Also, when you set up your account, you’re automatically assigned a random display name, like **“Lucid Elbakyan.”** If you want to see or change that name, go to **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""find my own entry on the leaderboard can\'t see my name right away""}'}]",0.00156225,c2903069a0
Why does the leaderboard show a random name for me when I first sign up?,"When you first sign up, the system automatically assigns you a random public display name for the leaderboard, like “Lucid Elbakyan.” It’s anonymous by default.

If you want to change it, go to **Edit Course Profile**:
- **First field:** leaderboard/display name
- **Second field:** certificate name

You can also use the **“Jump to your record on the leaderboard”** link to find your entry.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""leaderboard random name first sign up why show random name""}'}]",0.00143175,c2903069a0
Where can I check what my display name is in the course profile?,Click **“Edit Course Profile”** in the course platform. Your **display name** is the **first field** there — that’s the nickname shown publicly on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""display name course profile where can I check what my display name is""}'}]",0.0011445,c2903069a0
"If I want a different nickname on the leaderboard, how do I change it?","To change your leaderboard nickname, go to **Edit Course Profile** and update the **first field** there. That field is your **display name / nickname** shown publicly on the leaderboard.

You can use a Slack username, GitHub username, or any nickname you want. The **second field** is separate and is for your official name on the certificate.

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""change leaderboard nickname different nickname leaderboard how do I change it""}'}]",0.0015150,c2903069a0
"What name will appear on my certificate, and how do I make sure it’s not the default random one?","The name printed on your certificate is the **official name in the second field of “Edit Course Profile”**. It does **not** use the default random leaderboard name.

To make sure it’s not the random one:

1. Go to **Edit Course Profile**
2. Check the **second field**
3. Enter your **official name** there, exactly as you want it on the certificate

The **first field** is your public leaderboard nickname, which can stay random or be changed separately.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""certificate name default random one how to change name on certificate""}'}]",0.0013545,c2903069a0
Can I take the course at my own pace and still get the certificate?,"No — you can follow the course in self-paced mode, but you **won’t get a certificate** that way.

The FAQ says certificates are only awarded if you finish the course with a **live cohort**, because the certificate requires participating in the **peer-review process** for the capstone project, which is only available while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""take the course at my own pace certificate self-paced pace certificate""}'}]",0.00113325,69d122f12e
Is there any way to get a certificate if I’m not in the live cohort?,"No. According to the FAQ, you can only get a certificate if you finish the course with a live cohort. Self-paced learners don’t receive certificates, because the certificate process requires peer-reviewing capstone projects while the course is actively running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificate not in live cohort certificate live cohort self-paced certificate""}'}]",0.00114975,69d122f12e
Why doesn’t the self-paced version come with a certificate?,"The self-paced version doesn’t come with a certificate because certificates are only awarded for the **live cohort**.

The reason is that to earn the certificate, you need to **peer-review 3 capstone projects** after submitting your own project. That peer-review process is only possible while the course is actively running, because once the submission form closes, the peer-review list is compiled and no longer available.

So in short: **no live cohort = no peer-review stage = no certificate**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""self-paced version certificate why doesn’t the self-paced version come with a certificate""}'}]",0.00124725,69d122f12e
Do I need to be in the running cohort to do the peer reviews for the capstone?,"Yes — you need to be in the **live/running cohort** to do the capstone peer reviews.

The FAQ says peer reviews can only be done **while the course is running**, after the form is closed and the peer-review list is compiled. It also notes that the peer-review requirement is why certificates aren’t awarded in self-paced mode.

If you want, I can also explain how this affects certificate eligibility.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""peer reviews capstone running cohort need to be in the running cohort""}'}]",0.00128175,69d122f12e
Will I still be able to review 3 projects after the course ends and get certified?,"No. You can only peer-review 3 projects while the course is running, not after it ends.

To get certified, you need to finish the course with a live cohort and complete the required peer reviews after submitting your project. Once the form closes and the peer-review list is compiled, you can’t review projects anymore.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""review 3 projects after the course ends get certified""}'}]",0.0010335,69d122f12e
Do I still get the course certificate if I skipped the first homework?,"Yes — skipping the first homework does **not** prevent you from getting the certificate.

According to the FAQ, **homework is not mandatory**. You still need to **pass the Capstone project** to receive the certificate. Homework mainly helps with learning and contributes to your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""course certificate skipped first homework homework requirement certificate FAQ""}'}]",0.00114825,9f689c185f
"Is homework actually required to earn the certificate, or is the capstone enough?","Homework is **not required** to earn the certificate. You only need to **pass the Capstone project**.

Homework is still **recommended** because it helps reinforce the material and its points count toward your **leaderboard rank**, but missing homework won’t affect the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework required certificate capstone enough""}'}]",0.00111975,9f689c185f
"If I don’t do the homework, can I still complete the course and get certified?","Yes — you can still complete the course and get certified even if you don’t do the homework, but homework is typically part of the course workflow and may be required for course completion/certification depending on the cohort rules.

I’d recommend checking the course’s certification requirements on the course platform or in the course FAQ/logistics page to confirm what’s mandatory for your specific cohort.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework required certification complete course without doing homework""}'}]",0.00144675,9f689c185f
What do I need to pass in order to receive the certificate?,"To receive the certificate, you need to **pass the Capstone project**. Homework is **not mandatory** for the certificate, though it can help with learning and leaderboard points.

Also, the course certificate is only available if you **finish with the live cohort** and **submit your project while submissions are still open**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate requirements pass receive certificate""}'}]",0.001071,9f689c185f
"Are homework points mandatory for the certificate, or only for the leaderboard?","Homework points are **not mandatory for the certificate**. You only need to **pass the Capstone project** to get the certificate.

Homework is mainly for:
- reinforcing the concepts, and
- earning points that affect your **leaderboard rank**.

So: **certificate = Capstone**, **homework points = leaderboard**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework points mandatory certificate leaderboard""}'}]",0.0012510,9f689c185f
Why does this homework keep changing every time I check it?,"If the homework title contains **`[DRAFT]`**, it means it’s **not ready yet**, so the content can still change.

The homework is considered ready only when **both** are true:
- The homework form is open on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

Until then, changes are expected, so working on it early is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework keeps changing every time I check it""}'}]",0.00148875,96286b4be4
How do I know when an assignment is actually ready and not still a draft?,"An assignment is actually ready only when **both** of these are true:

- The homework/submission form is **open** on the course management platform.
- The homework title **does not contain `[DRAFT]`**.

If the title still says `[DRAFT]`, it’s **not ready yet**, and the content may still change. Working on it before then is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""assignment ready draft published visible submitted not still a draft""}'}]",0.0010935,96286b4be4
"If I see [DRAFT] in the homework title, should I assume the tasks are final or not?","No — if the homework title contains `[DRAFT]`, you should **not** assume the tasks are final.

The FAQ says that `[DRAFT]` means the homework is **not ready yet**, and the content can still change. The homework is only ready when:

- the homework form is open on the course management platform, and
- the title no longer contains `[DRAFT]`.

So working on it before then is at your own risk, since the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""[DRAFT] homework title final tasks assume final or not""}'}]",0.0015615,96286b4be4
Can the homework instructions still change after I start working on them?,"Yes — homework instructions can still change until the homework is officially ready.

The FAQ says the homework is only considered ready when both are true:

- The homework form is open on the course management platform
- The homework title does **not** contain `[DRAFT]`

Until then, the content may still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework instructions change after start working on them""}'}]",0.00132075,96286b4be4
"Is it safe to do the homework early, or should I wait until the form is open and the title no longer says draft?","It’s **not safe to assume the homework is final yet**. According to the FAQ, the homework is considered ready **only when both are true**:

- the homework form is open on the course platform, and
- the homework title **does not** contain `[DRAFT]`.

Until then, the content can still change, so doing it early is **at your own risk**.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework early form open draft title says draft safe do homework early wait until form open draft""}'}]",0.001317,96286b4be4
When is llm-zoomcamp planned to run again next?,"The FAQ indicates the current LLM Zoomcamp cohort is on the 2026 course management platform, but it doesn’t explicitly say when the next run starts again.

If you want to follow the current/next cohort info, check:
- https://courses.datatalks.club/llm-zoomcamp-2026/

If you’d like, I can also help you find whether there’s an announced start date or registration page.",Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""llm-zoomcamp planned to run again next""}'}]",0.00130125,bd31146b0e
