question,document
"Do I have to switch to uv, or can I still use pip and virtualenv?",f81dea8f7e
"What problems does uv solve compared with tools like poetry, pyenv, and pip-tools?",f81dea8f7e
"Why did the course choose uv for managing Python versions, environments, and dependencies?",f81dea8f7e
Why does my Jupyter notebook keep saying OPENAI_API_KEY is missing even though I added it to .env?,86d99bbf21
"Do I need python-dotenv for OpenAI auth in the notebook, and how do I load the env file?",86d99bbf21
What should I run in Jupyter before creating the OpenAI client so the API key is picked up?,86d99bbf21
"Could this error be because my env variable name is wrong, and what should it be exactly?",86d99bbf21
Where in the notebook setup do I load .env so OPENAI_API_KEY is available?,86d99bbf21
How do I keep my API keys out of git when using a .env file?,233dabe430
What’s the easiest way to load OPENAI_API_KEY or GROQ_API_KEY from .env in Python?,233dabe430
Do I need any extra package to read environment variables from a .env file?,233dabe430
"How should I set up a .env file for keys like OpenAI, Groq, or Gemini?",233dabe430
Why am I getting None from os.getenv for my API key after creating a .env file?,233dabe430
"Can I do the homework with a different LLM provider than the one suggested, or do I have to stick to the recommended model?",ee43413718
"Is it okay to use OpenAI, Gemini, Groq, Azure OpenAI, OpenRouter, or even a local model for the assignment?",ee43413718
"If I pick another provider, will I need to change the code because the API or tokenization might be different?",ee43413718
"Does the homework require a paid model or service, or is there a way to complete it for free?",ee43413718
Where can I find a list of OpenAI API alternatives or other model providers for this course?,ee43413718
How can I plug Gemini into the Module 1 notebook if I want to use Google’s OpenAI-style endpoint instead of the default setup?,0ae5c221b9
What do I need to put in my `.env` and client config to call Gemini models from an OpenAI client?,0ae5c221b9
Why does the course notebook need code changes when I switch from Responses to chat completions with Gemini?,0ae5c221b9
How should I write the helper function for sending instructions and a user prompt to a Gemini model?,0ae5c221b9
Which parts of the notebook usually break when I move the RAG examples over to the Gemini OpenAI-compatible API?,0ae5c221b9
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
"After installing Ollama, what command do I run to start the local model?",1d0b969028
How can I check if the Ollama server is working on my machine?,1d0b969028
What do I need to install in Python to use Ollama from code?,1d0b969028
Can you show a simple Python example for chatting with a local Ollama model?,1d0b969028
Why do I keep getting a connection refused error when I try prompting my Ollama RAG setup?,c6fc2d4d11
How can I fix the connection refused issue in the RAG homework with Ollama?,c6fc2d4d11
Do I need to restart Ollama server if my notebook shows a refused connection error?,c6fc2d4d11
What command should I run to bring Ollama back up after it stops during the assignment?,c6fc2d4d11
"If I stop and rerun the notebook, do I have to execute the Ollama serve cell again?",c6fc2d4d11
Why do I get a different token count in tiktoken than what OpenAI shows in the API response?,bf0403d21b
Is it normal for my prompt to be 320 tokens locally but 327 tokens in OpenAI?,bf0403d21b
What extra tokens does chat.completions.create add behind the scenes?,bf0403d21b
Why does a chat message seem to cost more tokens than the text itself?,bf0403d21b
Can whitespace or weird Unicode make OpenAI count more tokens than my encoder does?,bf0403d21b
How can I keep my API key loaded automatically in this project folder without typing export every time?,8b2f5e9d04
Is there a simple way to manage .env files across different shells instead of setting variables manually?,8b2f5e9d04
What do I need to install and add to my shell config so my secret gets picked up when I cd into the repo?,8b2f5e9d04
"If I already use direnv, can I use that here too, or is there a better tool for this course?",8b2f5e9d04
"How do I load a .env file from Python, and what should I use on GitHub Codespaces instead of putting secrets in the repo?",8b2f5e9d04
What’s the best way to decide field weights in minsearch or a similar search engine?,87d4ea4e08
"Should I just tweak search field weights by trial and error, or is there a better method?",87d4ea4e08
How can I test different field weights to know which one works best for retrieval?,87d4ea4e08
What kind of dataset do I need if I want to evaluate search field weighting properly?,87d4ea4e08
Which metrics should I look at when comparing different search weight settings?,87d4ea4e08
What’s the best way to clean documents before using them for RAG?,649c280e6d
"Should I keep things like titles, dates, speaker names, and page numbers when preparing data for retrieval?",649c280e6d
Do I need to convert my source files into JSON before chunking them for RAG?,649c280e6d
How can I chunk documents so related context stays together for better retrieval?,649c280e6d
What kind of metadata is worth saving when preparing docs for a RAG pipeline?,649c280e6d
"In GitHub Codespaces, does the ""Failed to hardlink files"" warning from uv mean the install actually failed?",acf8fa5356
"Why does uv show a hardlink warning in Codespaces, and is it something I need to worry about?",acf8fa5356
How can I stop uv from printing the hardlink/copy warning in my current shell?,acf8fa5356
What should I add to my shell config so uv always uses copy mode instead of hardlinks?,acf8fa5356
"If uv can’t hardlink between the cache and my environment, will it still install the package correctly?",acf8fa5356
What package do I need to install if `dotenv` isn't recognized in Python?,0bed1f48da
How do I add `python-dotenv` with `uv`?,0bed1f48da
"After installing the dotenv package, how do I load my `.env` file in code?",0bed1f48da
Is `python-dotenv` the right library to use when `dotenv` gives an import error?,0bed1f48da
Can you show the basic `load_dotenv()` setup after installing the package?,0bed1f48da
Can I do this course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally for Module 1?",aa310de435
What do I need installed if I want to work through the RAG module on my laptop?,aa310de435
"If I skip Codespaces, how do I make sure my local setup stays reproducible?",aa310de435
Is it okay to use a local Python/Jupyter/Docker environment for the course?,aa310de435
"If I leave my code in Codespaces and don’t commit it, does it stay saved anywhere permanent?",610ccb23c0
Where exactly is my uncommitted work stored when I’m coding in GitHub Codespaces?,610ccb23c0
"Do I need to commit often in Codespaces, or will the files be safe without that?",610ccb23c0
What happens to my work if a Codespaces VM stops or gets deleted before I commit?,610ccb23c0
"Is code in Codespaces automatically backed up to my GitHub repo, or only after I commit?",610ccb23c0
Why does WSL2 say the model needs more memory than available even though my PC has enough RAM?,f3dd94f323
How do I increase the RAM WSL2 can use on Windows?,f3dd94f323
Where should I put the .wslconfig file to give WSL2 more memory?,f3dd94f323
What do I need to write inside .wslconfig to set WSL2 memory to 8GB?,f3dd94f323
"After changing WSL2 memory settings, how can I check that the new RAM limit is applied?",f3dd94f323
"Why does my GitHub Codespace get stuck on ""Finishing up"" and how can I get it to reconnect?",830f3d2018
"If my Codespace won't open in VS Code desktop, is there a workaround that usually helps?",830f3d2018
What should I do when my Codespace setup looks like it disappeared after restarting or rebuilding?,830f3d2018
"Do files in the `/workspaces` repo survive a stop and start, or can they be lost too?",830f3d2018
Is there a point where it's better to stop fighting Codespaces and just run the course locally?,830f3d2018
Can I use a different LLM provider instead of OpenAI for this part of the course?,c6ff9083c0
"If OpenAI is blocked where I live, what are my options for running the RAG code?",c6ff9083c0
"Which providers work with the course code without major changes, just by swapping the API settings?",c6ff9083c0
Can I run the model locally with something like Ollama or vLLM and still follow the course?,c6ff9083c0
"Do I need to stick to paid hosted APIs, or can I use open-source models or a private endpoint instead?",c6ff9083c0
"What do people mean by tools or functions in agentic RAG, and are they basically the same thing?",c296ea5a21
When would an LLM decide to call a tool in an agentic RAG setup?,c296ea5a21
"Can a tool in agentic RAG be used for things like searching docs, database queries, API calls, or calculations?",c296ea5a21
How is tool use in agentic RAG different from normal RAG where retrieval happens first?,c296ea5a21
Should I care much about the naming difference between tools and functions in this course?,c296ea5a21
Which free models can I use if I need tool calling support for development?,0d74a3616f
"Does Groq have any models that support tools, like Deepseek R1 or Llama 4?",0d74a3616f
What other providers besides OpenAI support function calling or tool use?,0d74a3616f
"If I switch from OpenAI to Groq, Mistral, or Gemini, do I need to change my code?",0d74a3616f
Where can I read more about Groq’s tool use setup and supported schemas?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call the Responses API with a non-OpenAI model?,9e7b3f0c25
"Is `client.responses.create(...)` only supposed to work with OpenAI models, or can I use it with Mistral/Groq/Gemini too?",9e7b3f0c25
"If I’m using a provider other than OpenAI, what should I read instead of `response.output`?",9e7b3f0c25
How do I switch my code from the Responses API to `chat.completions.create(...)` for non-OpenAI models?,9e7b3f0c25
Do I need to change my tools schema when using the chat completions API with another provider?,9e7b3f0c25
How should I define the weather tool for Azure OpenAI to avoid the missing tools[0].function error?,b9c7c6bb34
What does my get_weather_tool JSON need to look like so Azure OpenAI accepts it?,b9c7c6bb34
Why am I getting Error code 400 about tools[0].function when I use the weather tool?,b9c7c6bb34
Can you show the correct JSON format for get_weather_tool in Agentic RAG with Azure OpenAI?,b9c7c6bb34
What exact changes do I need to make to my tool schema so the weather function works?,b9c7c6bb34
"Why does toyaikit throw a 404 with Groq or another non-OpenAI model, and what should I change to make it work?",0224d980b3
"Can I use toyaikit with Groq through the OpenAI-compatible API, or do I need a different client and runner?",0224d980b3
"How do I set up toyaikit for Anthropic instead of OpenAI, and which runner class should I use?",0224d980b3
"What’s the difference between the Responses endpoint and chat.completions in toyaikit, and why does that matter for Groq?",0224d980b3
"If runner.loop() works in code, what does it return and when should I use run() instead?",0224d980b3
Where do I actually get the Module 1 homework questions for this course?,53f15299b6
"Is the homework sheet for Module 1 on GitHub, or should I look in the course platform?",53f15299b6
Can you point me to the 2026 Module 1 homework instructions and cohort materials?,53f15299b6
Do I need to check both the course repo and the management platform for the homework?,53f15299b6
"Where are the homework links for LLM Zoomcamp Module 1, and which one has the full instructions?",53f15299b6
Why am I getting an empty list after filtering my query in the homework?,83da208a64
Could this empty result be caused by indexing the data the wrong way?,83da208a64
Do I need to set the index settings before I add the documents?,83da208a64
How should I fix my homework query if filters return nothing?,83da208a64
What should I check first when my Q3 search keeps coming back empty?,83da208a64
"Why do I get APIStatusError 402 from OpenRouter when I call responses.create() in the homework, and how do I stop it?",cfb07a27d5
"Do I need to set max_output_tokens somewhere in rag_helper.py for Module 1, or is that not the issue?",cfb07a27d5
"In ToyAIKit for Q6, what should I pass so OpenRouter doesn't reject the request before the model runs?",cfb07a27d5
"Is a 402 from OpenRouter the same as OpenAI's quota error, or is it a different kind of failure?",cfb07a27d5
"If lowering max_output_tokens to 1024 still doesn't work, what else should I check in my .env or OpenRouter key?",cfb07a27d5
"In the Module 1 homework, what does it mean to point RAG at the chunk index instead of the original docs?",b4300adeb1
Should I fit the search index on `chunks` or on `documents` for the homework?,b4300adeb1
Why does the RAG pipeline need to retrieve chunks rather than full documents?,b4300adeb1
"If I already split the records, do I still need to search the old document index?",b4300adeb1
How does using chunks in the index help reduce the context sent to the model?,b4300adeb1
"For the homework, if my numeric result is a little off from the choices, should I just pick the nearest one?",5e4ca64cb5
Why do homework answers sometimes not line up exactly with the multiple-choice options?,5e4ca64cb5
Could different data versions or rounding make my answer differ from the expected option?,5e4ca64cb5
"If my result is nowhere near any option, what should I check first in the homework?",5e4ca64cb5
"Do I need to match the exact number in the quiz, or is being close enough for selecting an answer?",5e4ca64cb5
Where exactly should I check the homework instructions if the questions on the platform are confusing?,7d3a2e3505
"For Module 1 in the 2026 cohort, which GitHub pages should I open first before doing the homework?",7d3a2e3505
Why does the homework sometimes look different from the lesson even when it’s based on the same topic?,7d3a2e3505
"If I still don’t understand a homework task after reading the GitHub instructions, what’s the best way to ask for help?",7d3a2e3505
"When I post a question in Slack about homework, should I send screenshots or paste the code/output as text?",7d3a2e3505
How should I count tokens for the Module 1 homework if I'm using a different LLM provider?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in Module 1?",fe8fed31e6
Where do I find the token count in the API response when the client is OpenAI-compatible?,fe8fed31e6
What should I do if my provider doesn't return any token usage info at all?,fe8fed31e6
"For the multiple-choice homework, should I pick the exact token count or the closest answer choice?",fe8fed31e6
"Why is my homework repo link getting a 500 or other non-200 error when I submit it, and what should I change?",bcdb8740ce
"Does the checker need my GitHub repo to be public, or can it read a private one?",bcdb8740ce
"Should I submit the GitHub URL with .git at the end, or without it?",bcdb8740ce
How can I quickly test whether the repo link I pasted is actually reachable from outside my account?,bcdb8740ce
My submission says the URL is wrong even though it opens for me — what are the usual things to check?,bcdb8740ce
"What exactly are embeddings in vector search, and why do they matter for semantic similarity?",69430a79a8
How does an embedding model turn text or other non-numeric data into numbers while keeping the meaning?,69430a79a8
Why should similar inputs produce vectors that are close to each other in embedding space?,69430a79a8
What does it mean when people talk about using embeddings with a vector space model?,69430a79a8
"Is dimensionality reduction related to embeddings, and if so, how are they connected?",69430a79a8
"How do I get rid of the warning about model ""multi-qa-mpnet-base-dot-v1"" being made on sentence-transformers v3.0.0 beta?",aa3f597424
What should I install to suppress the sentence-transformers version warning in Module 2?,aa3f597424
"Is there a way to stop the ""made on sentence transformers v3.0.0 bet"" message from showing up?",aa3f597424
"Do I need a newer sentence-transformers version for multi-qa-mpnet-base-dot-v1, and if so, which one?",aa3f597424
What pip command should I run to fix the model warning in vector search?,aa3f597424
Why did the lesson just use .dot(...) for similarity instead of doing cosine similarity the usual way?,92cd22cada
"Are the embeddings from model.encode(...) already normalized, or do we need to normalize them ourselves?",92cd22cada
"In the homework with TF-IDF + SVD, why isn’t the dot product enough to measure similarity?",92cd22cada
When does dot product equal cosine similarity in vector search?,92cd22cada
"Do I need to normalize vectors before comparing them in this module, or only for the homework?",92cd22cada
"For vector search, do I need to embed just the answer, just the question, or both together?",5c4a8d2e60
Which indexing option usually works best for matching user queries in the vector search assignment?,5c4a8d2e60
Why would I embed only the answer text instead of the question in this module?,5c4a8d2e60
"Is there a reason to concatenate question and answer before creating embeddings, and is it worth the extra cost?",5c4a8d2e60
How should I decide between these embedding strategies for my dataset?,5c4a8d2e60
What does cosine similarity actually measure when comparing two vectors?,db78580409
How is cosine similarity used to tell if two documents are related?,db78580409
What does the angle between vectors have to do with similarity in text search?,db78580409
Why does cosine similarity return values from -1 to 1?,db78580409
"In vector search, why do people use cosine similarity instead of just comparing raw counts?",db78580409
Why can cosine similarity be computed with a dot product after normalizing embeddings?,95feb4e75b
What changes when both the document vectors and the query are unit-length?,95feb4e75b
How does normalization let us use matrix multiplication for vector search?,95feb4e75b
Why do vector magnitudes stop mattering in cosine similarity once everything is normalized?,95feb4e75b
Is cosine similarity basically the same as multiplying the query by the embedding matrix after normalization?,95feb4e75b
"For Module 2, do I need to create another GitHub repository, or is a fresh codespace enough?",1e829a8c6f
Why should I use a separate codespace for the vector search module instead of reusing the one from Module 1?,1e829a8c6f
"If I spin up a new codespace for Module 2, does it come from my current repo or do I have to start a new repo first?",1e829a8c6f
"Can I just delete the Module 2 codespace later once I'm done, or is there anything I should save before that?",1e829a8c6f
What happens if I work in a codespace for this module and don’t commit my changes before deleting it?,1e829a8c6f
Why does download.py stay stuck at 0% forever when it tries to get model.onnx from HuggingFace?,29b69fbe0b
Is there a way to fix the model download issue in download.py without waiting for the script to finish?,29b69fbe0b
Can I manually grab model.onnx from the browser and put it in the right folder so the script skips the download?,29b69fbe0b
What usually causes the HuggingFace download to freeze at 0% in this module?,29b69fbe0b
Where exactly should I save model.onnx so download.py sees it and doesn’t try to fetch it again?,29b69fbe0b
Why do the vector search scores from the matrix dot product and the Python loop not match exactly?,e889793af9
Is it normal for `scores = X.dot(v_query)` and a for-loop version to give tiny differences?,e889793af9
"Why can `np.allclose(scores, scores_loop)` return `False` even when both methods do the same dot product?",e889793af9
What causes the last few decimal places to change when computing vector search scores in two different ways?,e889793af9
How should I compare the results from the optimized dot product and the loop version without getting tripped up by precision issues?,e889793af9
"For Module 2 Q2, why is my cosine similarity not matching any answer choice?",eaa17a9dc6
"Am I supposed to use sentence-transformers for the homework embedding step, or the Embedder from embedder.py?",eaa17a9dc6
Could the wrong model be the reason my cosine similarity is way off in the homework?,eaa17a9dc6
"What exactly should I embed for Q2 — the content text, the filename, or the whole record?",eaa17a9dc6
"If my cosine similarity is a little different from the choices, should I just pick the closest one?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily keys so Kestra can see them?",3860e5fe8b
Why does Kestra want API keys in base64 and with the SECRET_ prefix?,3860e5fe8b
Do I need both GEMINI_API_KEY and SECRET_GEMINI_API_KEY for the module?,3860e5fe8b
How should I write the secret reference inside a Kestra flow YAML file?,3860e5fe8b
What do I need to export before running docker compose up so the flows work?,3860e5fe8b
Why does Kestra AI Copilot keep saying it can only help with creating flows?,04440cab11
"What Gemini API variable does Kestra Copilot actually read, and how is that different from the one in the flows?",04440cab11
I set up the key but the Copilot still refuses to answer — what should I check first?,04440cab11
"Do I need to restart Kestra after exporting the Gemini key, or is that enough on its own?",04440cab11
"Could this be a quota problem from Gemini, and how do I know if I hit the free-tier limit?",04440cab11
Why is my Kestra flow still saying the Gemini key is missing even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
"Could a bad base64 export make the secret fail in Kestra, and how do I avoid that?",c8ca21af33
Do I need to restart the Kestra container after changing my API key env vars?,c8ca21af33
"When I use a secret in a flow, should I write SECRET_GEMINI_API_KEY or just GEMINI_API_KEY?",c8ca21af33
Is it better to load the keys from a .env file instead of exporting them in the shell?,c8ca21af33
Why use an orchestrator like Kestra instead of just running everything in a notebook?,193612db63
What does Kestra add for AI workflows that a plain script or notebook doesn't have?,193612db63
"Is Kestra only for scheduling jobs, or does it also help with retries, monitoring, and secrets?",193612db63
"In this module, how is Kestra used to show AI Copilot, RAG, and agents in a real workflow?",193612db63
"Can I switch between OpenAI, Gemini, and Anthropic in a Kestra flow without rewriting the whole thing?",193612db63
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How do I make the model return only valid JSON instead of adding markdown or extra text?,a3c7e1b4f9
What should I set in the OpenAI chat completion call so `json.loads()` works reliably?,a3c7e1b4f9
Can you show the prompt wording that tells the LLM to output a JSON object with exactly 5 questions?,a3c7e1b4f9
"Does this JSON-only fix work with other providers too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter notebook kernel crash when I try to embed the ground-truth set?,b8f2d6a30c
What can I do if the embedding step runs out of RAM in Codespaces or on a low-end laptop?,b8f2d6a30c
Is it okay to switch to a smaller embedding model like all-MiniLM-L6-v2 for the eval notebook?,b8f2d6a30c
How can I avoid memory issues by moving the embeddings to a separate script instead of doing everything in Jupyter?,b8f2d6a30c
Do I need to re-run hit-rate and MRR after changing the embedding model or processing the data in batches?,b8f2d6a30c
Why does adding `time.sleep(4)` still not stop Gemini quota errors when I generate the ground-truth data in a long loop?,c1e9f4b820
What can I use instead of free Gemini if I keep hitting request limits while creating the evaluation dataset?,c1e9f4b820
How can I make my thread-pool calls less aggressive so I don’t get rate limited as fast?,c1e9f4b820
Is there a cheaper API option for embedding or generating the full ground-truth set for this module?,c1e9f4b820
What’s the best way to avoid losing everything if my dataset generation gets interrupted by a rate limit?,c1e9f4b820
"How do I fix the Windows error ""OSError: [WinError 126]"" when PyTorch can't load fbgemm.dll?",15e931476c
"If torch throws a missing fbgemm.dll or dependency error on Windows, what should I install?",15e931476c
Do I need Visual C++ Redistributable or Visual Studio to solve the PyTorch fbgemm.dll issue on Windows?,15e931476c
"Why does PyTorch fail with ""The specified module could not be found"" for fbgemm.dll on my PC, and what's the usual fix?",15e931476c
"Is this fbgemm.dll import error on Windows caused by missing Visual Studio, and how can I get it working?",15e931476c
"I'm getting ""could not translate host name postgres"" when I run prep.py. What should I change in my .env file?",4b65d5542d
How do I fix psycopg2 OperationalError: No such host is known for postgres while running python prep.py?,4b65d5542d
"Why does prep.py fail with postgres host name not found, and what host value should I use instead?",4b65d5542d
"What is the right POSTGRES_HOST setting if psycopg2 says it can't resolve ""postgres""?",4b65d5542d
My .env has POSTGRES_HOST=postgres and prep.py breaks. What should it be set to?,4b65d5542d
How do I make Pandas stop cutting off long text in a column and show the full content?,641aedbbf5
"Why does the Explanation column get truncated in the offline-rag-evaluation notebook, and how can I view the whole thing?",641aedbbf5
What Pandas setting should I change to display the entire judge LLM explanation instead of just the first part?,641aedbbf5
"Is there a simple line of code to show full text in a Pandas column when it normally uses ""...""?",641aedbbf5
How can I set Pandas so long strings in a dataframe column are not limited to 50 characters?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to normalize each vector in a Pandas Series?,5039707c1a
Can I use apply with NumPy to normalize vectors in one DataFrame column?,5039707c1a
What code should I use to create a new normalized column from an existing vector column in Pandas?,5039707c1a
How do I divide each vector by its norm inside a DataFrame column?,5039707c1a
How can I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
