question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
Where can I watch the Office Hours or live workshop sessions if I’m a student?,489dd1c9d9,good,"The agent’s answer matches the ground truth well. It correctly states that the Zoom link is not publicly shared, and that students should watch via YouTube Live/DataTalksClub YouTube channel, find the video URL in the announcements channel on Telegram and Slack, use Slido for questions, and avoid posting questions in chat. These are the key points from the original answer.",good,"The single search query was relevant and directly asked the same question as the user. One search is reasonable here, and there were no unnecessary duplicate calls. The tool call supported the final answer."
"Do students get the Zoom link for live sessions, or is it shared somewhere else?",489dd1c9d9,good,"The agent answer matches the key point of the ground truth: students do not receive the Zoom link and it is only for instructors/presenters/TAs. It also correctly says students should join via YouTube Live and that the video URL is posted in Telegram/Slack announcements before the session. However, it omits two details from the original answer: using Slido for questions and the note not to post questions in chat. These omissions do not change the core correctness.",good,"The single search query was relevant to the question and contained the main keywords about the Zoom link and live sessions. Only one tool call was needed, and it was sufficient to support the final answer. No unnecessary or duplicate searches were made."
How do I ask questions during the workshop if I can’t use the Zoom room?,489dd1c9d9,good,"The agent answer matches the key points of the ground truth: students should watch via YouTube Live and submit questions through Slido, and they should not post questions in chat because they may be missed. It omits a couple of extra details from the original (Zoom link only for instructors/presenters/TAs, and where the video URL is posted), but the essential guidance is present and correct.",good,"The search query was directly relevant and closely matched the user’s question. Only one search was needed, which is reasonable because the query was specific and the final answer aligned well with the ground truth. There were no unnecessary or duplicate tool calls."
"Is the live stream link posted before Office Hours starts, and where should I look for it?",489dd1c9d9,good,"The agent answer matches the ground truth on the key points: the stream/video URL is posted before Office Hours starts, it should be looked for in the announcements channel on Telegram and Slack, and it is also available on the DataTalksClub YouTube channel. It also correctly notes that the Zoom link is only for instructors/presenters/TAs. One minor omission is the Slido/chat guidance, but that was not directly asked and does not affect correctness.",good,The search query was relevant to the question and included the core idea of the live stream link and where to find it. Only one search call was needed and that is reasonable for this straightforward FAQ-style question. The tool call supported the final answer.
"Should I type my questions in the YouTube chat during the live session, or is there a better place to submit them?",489dd1c9d9,good,"The agent answer matches the key point of the ground truth: students should submit questions via Slido, not YouTube chat, because chat messages may be missed. It also correctly mentions that the Slido link is pinned in chat during the live session. It omits some extra details from the original (Zoom link only for instructors/presenters/TAs, and where the video URL is announced), but those are not necessary for answering the question.",good,"The search query was relevant to the question and included the core concepts (YouTube chat, live session, questions, better place to submit). Only one search call was made, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
"Where do I begin if I want to follow this course from scratch, and which pages should I check first?",04919992b3,good,"The agent’s answer matches the ground truth well. It includes the same starting pages: the LLM Zoomcamp docs, the general Zoomcamp logistics docs, and the GitHub repository. It also correctly summarizes the recommended workflow (videos, notebooks/code, homework instructions, submission before the deadline) and notes that the course can be started anytime with deadlines on the course platform. This preserves the key information from the original answer.",good,"The tool call was reasonable and relevant: the search query targeted the idea of starting from scratch and which pages to check first. Only one search was needed, and the final answer did not depend on unnecessary extra calls. The query was somewhat generic, but still sufficiently aligned with the question."
"Can I start the LLM Zoomcamp at any time, or is there a fixed start date and schedule I need to follow?",04919992b3,good,"The agent’s answer matches the ground truth: it says the user can start anytime, there is no fixed start date to follow for the materials, and it includes the same recommended workflow plus the note that deadlines are on the course management platform. It also mentions the relevant docs and GitHub repo. This preserves the key information from the original answer.",good,"The single search query was relevant to the user’s question and targeted the start-date/schedule issue directly. Only one search call was made, which is reasonable here, and there were no unnecessary duplicate or redundant tool calls. The tool use supports the final answer."
"What’s the usual weekly routine for this course — do I watch the lectures first, then do the notebooks, then homework?",04919992b3,good,"The agent’s answer matches the ground truth well. It gives the same typical workflow: watch lesson videos, work through notebooks/code, read homework instructions on GitHub, and submit on the course platform before the deadline. It also correctly says the user’s proposed order is basically right. One minor omission is that it doesn’t mention the broader course docs or that you can start whenever you want, but the core answer is correct.",good,"The search query was relevant to the user’s question and contained the main keywords about lectures, notebooks, and homework. Only one search was needed, and the final answer was clearly supported by the query. No unnecessary or duplicate tool calls were made."
Where do I find the homework instructions and where should I upload or submit my answers before the deadline?,04919992b3,good,"The agent’s answer captures the main idea: homework instructions are in the GitHub repo and answers are submitted through the course platform/homework submission form before the deadline. However, it adds extra specific links and deadline details that are not present in the ground truth, and it slightly overstates the answer by focusing on a specific module. Still, the core guidance matches the original answer.",good,"The search query was relevant to the question and included key concepts like homework instructions, upload/submit, and deadline. Only one search was used, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer adequately."
"Is homework basically the same as the lesson exercises, or does it use different data and tasks?",04919992b3,good,"The agent answer matches the ground truth on the core point: homework is similar to the lesson flow but typically uses a different dataset or slightly different tasks. It also correctly says it is not always the exact same data/tasks. The only omission is the extra workflow/resources details from the original answer, but those were not essential to the user's specific question.",good,"The single search query was relevant and included key concepts from the question (homework, lesson exercises, same/different data/tasks). One search was sufficient, and there were no redundant or unnecessary tool calls. The tool call supports the final answer."
How do I find my own entry on the leaderboard if I can’t see my name right away?,c2903069a0,good,"The agent answer matches the key information from the original answer: it says to click 'Jump to your record on the leaderboard' to find your entry, and it mentions that a random display name is assigned and can be viewed/changed in 'Edit Course Profile.' This covers the main point of the FAQ response. It omits some extra details about the two profile fields and certificate name, but those are not necessary for answering the question asked.",good,"The single search query was relevant and closely matched the question. Only one tool call was needed, and there were no unnecessary duplicates or redundant refinements. The tool call reasonably supported the final answer."
Why does the leaderboard show a random name for me when I first sign up?,c2903069a0,good,"The agent answer matches the ground truth well. It explains that a random public display name is automatically assigned on signup, mentions the example 'Lucid Elbakyan,' tells the user to use 'Edit Course Profile,' and includes the 'Jump to your record on the leaderboard' link. It also correctly identifies the two profile fields, though it is a bit less detailed than the original about the second field being the official ID name required for the certificate.",good,"The search query was relevant and contained key terms from the question ('leaderboard', 'random name', 'first sign up'). Only one search was used, which is reasonable for this straightforward FAQ-style question. The tool call supports the final answer."
Where can I check what my display name is in the course profile?,c2903069a0,good,"The agent’s answer matches the key point of the ground truth: you check your display name by clicking “Edit Course Profile,” and it correctly identifies the first field as the nickname/display name. It omits some extra details about the leaderboard link and the second official-name field, but those are not necessary to answer the question.",good,"The single search query was relevant and included the core concepts from the question (“display name,” “course profile”). One search was sufficient, and the tool use supported the final answer. No unnecessary or duplicate calls were made."
"If I want a different nickname on the leaderboard, how do I change it?",c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says to use Edit Course Profile and change the first field/display name to set the leaderboard nickname, and notes that the second field is for the official certificate name. It includes the key details about using any nickname and the separation between display name and official name.",good,"The search query was relevant to the user’s question and contained the main keywords about changing a leaderboard nickname. Only one search was used, which is reasonable since the answer was straightforward and the final response aligns with the expected information."
"What name will appear on my certificate, and how do I make sure it’s not the default random one?",c2903069a0,good,"The agent’s answer matches the ground truth. It correctly states that the certificate uses the official name in the second field of Edit Course Profile, and that the first field is only the displayed/nickname/leaderboard name. It also conveys that updating the second field prevents the default random name from appearing on the certificate.",good,"The single search query was relevant to the question and included the main ideas (certificate name, default random name, how to change it). One search was sufficient; no unnecessary duplicate calls were made."
Can I take the course at my own pace and still get the certificate?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says that self-paced mode is allowed but does not lead to a certificate, and it explains that certificates require finishing with a live cohort and participating in peer review during the course run. This captures the key points from the original answer, even if wording differs slightly.",good,"The single search query is relevant to the question and includes important keywords like self-paced and certificate. One search call is reasonable here, and there were no unnecessary duplicate calls. The tool use supports the final answer."
Is there any way to get a certificate if I’m not in the live cohort?,69d122f12e,good,"The agent’s answer matches the ground truth: it says no certificate is available outside the live cohort, self-paced learners do not receive certificates, and it mentions the peer-review requirement while the course is running. This covers the key points from the original answer.",good,"The single search query is relevant and includes the important keywords from the question (certificate, live cohort, self-paced). One search call is reasonable and sufficient for this FAQ-style question. The tool call supports the final answer."
Why doesn’t the self-paced version come with a certificate?,69d122f12e,good,"The agent answer matches the ground truth. It states that certificates are only available for the live cohort, not the self-paced version, and explains the reason: you must peer-review 3 capstone projects during the course while it is actively running, before the submission form closes and the peer-review list is compiled. This captures the key information from the original answer.",good,"The search query was relevant and included important keywords from the question ('self-paced version' and 'certificate'). Only one search was used, which is reasonable since the query was direct and the final answer aligns with the expected FAQ response. There were no unnecessary or duplicate tool calls."
Do I need to be in the running cohort to do the peer reviews for the capstone?,69d122f12e,good,"The agent’s answer matches the key point from the ground truth: peer reviews for the capstone can only be done in the live/running cohort, while the course is actively running. It also correctly mentions that this is why self-paced mode does not get certificates. Minor wording differs, but the substance is the same. One caveat: the agent says “Yes,” while the FAQ’s first sentence is about certificate eligibility, but the peer-review part is still answered correctly.",good,"The tool call was relevant and used important keywords from the question, especially “peer reviews,” “capstone,” and “running cohort.” Only one search was made, which is reasonable for a straightforward FAQ lookup. The search directly supported the final answer."
Will I still be able to review 3 projects after the course ends and get certified?,69d122f12e,good,"The agent answer matches the ground truth. It correctly says you cannot review projects after the course ends, that certification requires finishing with a live cohort, and that peer reviews must be done while the course is running before the form closes. This preserves the key points from the original answer.",good,"The single search query was relevant and directly reflected the question. Only one tool call was needed, and it supported the final answer without unnecessary repetition."
Do I still get the course certificate if I skipped the first homework?,9f689c185f,good,"The agent answer matches the ground truth. It correctly says that skipping the first homework does not prevent getting the certificate, that homework is not mandatory, and that passing the Capstone project is required. It also correctly mentions that homework points affect leaderboard rank, which is consistent with the original answer.",good,"The search query was relevant and contained key terms from the question (certificate, homework, FAQ). Only one search was used, which is reasonable for this straightforward question, and it supported the final answer."
"Is homework actually required to earn the certificate, or is the capstone enough?",9f689c185f,good,"The agent answer matches the ground truth. It correctly states that homework is not mandatory, that passing the Capstone project is required to earn the certificate, and that homework is recommended and contributes to leaderboard rank.",good,"The single search query was relevant to the question and included the key concepts of homework, certificate, and capstone. One search was sufficient, and there were no unnecessary or duplicate tool calls."
"If I don’t do the homework, can I still complete the course and get certified?",9f689c185f,bad,"The agent’s answer is not fully aligned with the ground truth. The FAQ states clearly that homework is not mandatory and that certification depends on passing the Capstone project. The agent instead gives a conditional, uncertain answer saying homework may be required depending on cohort rules, which contradicts the original answer and fails to mention the Capstone requirement. It also omits that homework points count toward leaderboard rank and that homework is recommended but optional.",good,"The search query was relevant to the question and contained key concepts like homework, certification, and completing the course. Only one search call was made, which is reasonable. However, the tool use did not appear to meaningfully support the final answer, since the final response remained vague and did not reflect the specific FAQ answer."
What do I need to pass in order to receive the certificate?,9f689c185f,good,"The agent correctly states that passing the Capstone project is required and that homework is not mandatory, which matches the ground truth. However, it adds extra conditions about finishing with the live cohort and submitting while submissions are open, which are not present in the original answer. Since the core answer matches, this is still acceptable, though slightly embellished.",good,"The search query was relevant and included key terms like certificate and requirements. Only one search was used, which is reasonable for a straightforward FAQ-style question. The tool call supported the final answer."
"Are homework points mandatory for the certificate, or only for the leaderboard?",9f689c185f,good,"The agent answer matches the ground truth: it says homework points are not mandatory for the certificate, that passing the Capstone project is required, and that homework points contribute to leaderboard rank while reinforcing concepts. This contains all key information from the original answer.",good,"The single search query was directly relevant and included the key concepts from the question: homework points, mandatory, certificate, and leaderboard. One search call was sufficient, and there were no unnecessary duplicate or excessive tool calls."
Why does this homework keep changing every time I check it?,96286b4be4,good,"The agent’s answer matches the ground truth closely. It correctly explains that `[DRAFT]` means the homework is not ready yet, that readiness requires both the form being open and the title not containing `[DRAFT]`, and that the content may still change until then. It also includes the caution that working early is at the student’s own risk. Minor wording differences do not affect correctness.",good,"The single search query is relevant to the user’s question and reasonably targeted. One search call is sufficient here, and there were no unnecessary duplicate searches. The tool call supports the final answer."
How do I know when an assignment is actually ready and not still a draft?,96286b4be4,good,"The agent answer matches the ground truth: it states that the assignment is ready only when the form is open and the title does not contain [DRAFT], and it notes that if [DRAFT] is present it is not ready yet and content may still change. This preserves the key information from the original answer.",good,"The single search query is relevant to the question and uses useful keywords like 'ready', 'draft', and 'published/visible'. One search is reasonable here, and the final answer is supported by the retrieved information."
"If I see [DRAFT] in the homework title, should I assume the tasks are final or not?",96286b4be4,good,"The agent answer matches the ground truth: it says that if the homework title contains [DRAFT], the tasks are not final, explains that the homework is not ready yet, and notes the two conditions for readiness (form open and no [DRAFT]). It also includes the warning that working early is at your own risk because the final version may change. This preserves all key information from the original answer.",good,"The single search query was relevant and used important keywords from the question, including [DRAFT], homework title, and final/assume final. One search is sufficient here, and there were no unnecessary duplicate calls. The tool call supported the final answer well."
Can the homework instructions still change after I start working on them?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states that homework instructions can still change until the homework is officially ready, and includes both readiness conditions: the form being open and the title not containing [DRAFT]. It also captures the warning that working early is at your own risk because content may change.",good,"The tool call was relevant and used keywords from the question about homework instructions changing. One search call was sufficient, and there were no redundant or unnecessary calls. The tool use supported the final answer."
"Is it safe to do the homework early, or should I wait until the form is open and the title no longer says draft?",96286b4be4,good,"The agent’s answer matches the ground truth. It correctly states that the homework is only ready when the form is open and the title no longer contains [DRAFT], and that doing it early is at the student’s own risk because the content may still change.",good,"The search query included the key concepts from the question: homework, early, form open, draft title, and safety. Only one search was needed, and it was relevant to the question. The tool use was reasonable and supported the final answer."
When is llm-zoomcamp planned to run again next?,bd31146b0e,bad,"The ground truth says the next run is planned for Summer 2027. The agent answer does not provide this and instead says the FAQ does not explicitly say when the next run starts, which conflicts with the original answer. So the answer is incorrect.",good,"The search query was relevant to the question and included the key term 'llm-zoomcamp', but only one search was made and the result apparently did not lead to the needed FAQ answer. This is a reasonable attempt, though not successful. Overall the tool use was acceptable but incomplete."
Do you know the next time this course will be offered?,bd31146b0e,good,The agent answer matches the ground truth exactly in substance: it states the course will next be offered in Summer 2027. No conflicting information is present.,good,"The single search query was relevant to the question and sought the next offering time. While it was somewhat generic and did not include specific course details, there was only one reasonable search call and no unnecessary duplication. The tool use supports the final answer."
What’s the upcoming session date for the course?,bd31146b0e,bad,"The agent’s answer does not match the ground truth. The correct answer is simply ""Summer 2027."" The agent instead says no specific upcoming session date is listed and refers to a course platform link and starting anytime, which is different and misses the actual session date.",bad,"The search query was only loosely related to the question and did not target the specific course/session date information. However, there was only one reasonable search call, so the trajectory is not egregious, but it did not help recover the correct answer."
When should I expect the course to be available again?,bd31146b0e,good,The agent's answer matches the ground truth exactly in substance: it states the course will be available again in Summer 2027. This contains the key information requested.,good,"The single search query is relevant to the question and asks about when the course will be available again. While it could have included the exact term 'Summer 2027' or been more targeted, one search is reasonable and sufficient here. The tool call supports the final answer."
Is the next course run happening in summer 2027?,bd31146b0e,good,"The agent answer matches the ground truth. It correctly states that the next course run will be in Summer 2027, which directly answers the question.",good,"The single search query is relevant and contains the key terms from the question ('next course run' and 'summer 2027'). One search call is sufficient here, and it supported the final answer well."
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f,good,"The agent answer matches the ground truth. It correctly points to the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders, notes that each lesson page has the relevant videos linked at the top, and adds that the repo is the best place to start because it is more reliably updated than the YouTube playlist. These are the key points from the original answer.",good,"The single search query was relevant and included important keywords like LLM Zoomcamp, lectures, and videos. One search was reasonable for this straightforward question, and there were no unnecessary duplicate calls. The tool call supports the final answer."
Is there a central place to start if I want to watch the lesson videos?,31456f4b5f,good,"The agent answer matches the ground truth well. It correctly identifies the LLM Zoomcamp GitHub repository as the main entry point, notes that lesson folders contain the relevant videos linked at the top, and mentions that the repo is preferred because it is easier to keep updated than a YouTube playlist. It also adds a course docs link, which is extra but not contradictory.",good,"The single search query is relevant to the question and reasonably targeted at finding where to start with lesson videos. Only one tool call was used, which is appropriate for a straightforward FAQ-style question. The query could have been more specific by including 'LLM Zoomcamp' or 'GitHub repository', but it was still acceptable."
"Do the lesson pages include links to the videos, or do I need to search YouTube myself?",31456f4b5f,good,"The agent answer matches the ground truth: it says the lesson pages include links to the relevant videos at the top, so the user does not need to search YouTube themselves. It also correctly mentions that the GitHub repository is the main entry point and is more up to date than the YouTube playlist.",good,"The single search query was relevant to the question and included key terms about lesson pages, videos, and YouTube. One search call is reasonable here, and the result likely supported the final answer. No unnecessary duplicate calls were made."
What’s the best place to check first for updated lecture links in this course?,31456f4b5f,good,"The agent answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point and notes it is easier to keep updated than the YouTube playlist, with lesson folders containing the relevant video links at the top. This preserves the key information from the original answer.",good,"The single search query is relevant to the question and seeks the location for updated lecture links. While it does not include the course name explicitly, it is still appropriately targeted. One search call is reasonable here, and the tool use supports the final answer."
How do I locate the videos for each lesson in the repository?,31456f4b5f,good,"The agent answer matches the ground truth closely. It identifies the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders, notes that each lesson page has the relevant videos linked at the top, and adds the same guidance that the GitHub repo is more up to date than the YouTube playlist. The wording is paraphrased but the key information is preserved.",good,"The single search query is relevant to the user’s question and includes the key idea of locating videos for each lesson. While it is somewhat generic and not strongly targeted with the exact repository name, one search is reasonable for this simple lookup task, and there are no unnecessary duplicate calls."
